Autor;Ano;Número Emenda;Tipo Emenda;Valor Empenhado;UF;Função;Subfunção;Localidade do Gasto;Data do Empenho
ALENCAR SANTANA;2024;20248010;Individual;R$ 1,107,447,13;RJ;Assistência Hospitalar e Ambulatorial;Segurança Pública;SP (UF);19/06/2024
EDUARDO BARBOSA FILHO;2024;20241931;Bancada;R$ 2,324,393,74;RS;Infraestrutura Urbana;Segurança Pública;RJ (UF);17/12/2024
ELICORRÊA;2024;20243473;Comissão;R$ 750,207,74;RJ;Assistência Hospitalar e Ambulatorial;Assistência Hospitalar e Ambulatorial;BA (UF);25/07/2024
GUILHERME MUSSI;2024;20247575;Comissão;R$ 4,940,458,20;MG;Assistência Hospitalar e Ambulatorial;Atenção Básica à Saúde;BA (UF);03/06/2024
BACELAR;2024;20248593;Bancada;R$ 3,793,658,28;BA;Ensino Fundamental;Saneamento Básico;PE (UF);11/10/2024
EDUARDO BARBOSA;2024;20241495;Individual;R$ 1,470,020,41;MG;Saneamento Básico;Educação Infantil;PE (UF);19/08/2024
ELICORRÊA;2024;20249155;Comissão;R$ 2,287,376,65;GO;Ensino Fundamental;Ensino Médio;MG (UF);24/02/2024
ELICORRÊA FILHO;2024;20241813;Comissão;R$ 2,224,894,51;MG;Educação Infantil;Ensino Superior;RS (UF);17/09/2024
BACELAR;2024;20241109;Individual;R$ 4,205,460,29;PE;Educação Infantil;Ensino Fundamental;PE (UF);25/09/2024
HERCÍLIO DINIZ;2024;20241075;Individual;R$ 525,002,93;MG;Saneamento Básico;Ensino Fundamental;PR (UF);21/05/2024
BACELAR;2024;20242201;Bancada;R$ 3,975,379,96;PR;Ensino Superior;Assistência Hospitalar e Ambulatorial;PE (UF);01/10/2024
CARLOS ZARATTINI;2024;20249408;Individual;R$ 4,382,103,95;DF;Saneamento Básico;Ensino Superior;PR (UF);06/11/2024
GUILHERME MUSSI;2024;20246639;Comissão;R$ 1,094,907,69;BA;Atenção Básica à Saúde;Ensino Superior;GO (UF);19/12/2024
FELIPE BORNIER;2024;20241888;Bancada;R$ 2,869,858,04;GO;Segurança Pública;Infraestrutura Urbana;PR (UF);07/10/2024
ELICORRÊA;2024;20241564;Comissão;R$ 802,853,36;SC;Saneamento Básico;Assistência Hospitalar e Ambulatorial;PE (UF);17/03/2024
DANIEL ALMEIDA;2024;20242647;Bancada;R$ 4,766,312,76;PE;Segurança Pública;Saneamento Básico;GO (UF);02/08/2024
GUILHERME MUSSI;2024;20242899;Bancada;R$ 3,965,657,29;BA;Saneamento Básico;Ensino Superior;GO (UF);06/07/2024
DEPUTADO FELIPE BORNIER;2024;20245639;Comissão;R$ 1,112,095,86;RS;Educação Infantil;Vigilância Epidemiológica;BA (UF);17/01/2024
GUILHERME MUSSI FILHO;2024;20243224;Comissão;R$ 1,149,558,00;RS;Atenção Básica à Saúde;Ensino Fundamental;SP (UF);22/09/2024
EDUARDO BARBOSA;2024;20241266;Bancada;R$ 386,681,19;RJ;Educação Infantil;Ensino Médio;PR (UF);10/02/2024
BACELAR FILHO;2024;20248945;Bancada;R$ 3,763,766,85;BA;Ensino Médio;Ensino Superior;RS (UF);18/05/2024
